surnames,frequency_first,frequency_second,frequency_both
DE LOPEZ,99,427,..
ILINCHETA,99,166,..
MESAUD,99,137,..
MALAGUILLA,99,136,..
SANLUIS,99,133,..
CORBATO,99,131,..
ESPINASA,99,130,..
BASAGUREN,99,128,..
CUADRIELLO,99,127,..
MORENCOS,99,126,..
SUSTAETA,99,126,..
INOSTROZA,99,124,..
SIELVA,99,123,..
VEGUILLA,99,123,..
CANDAMIO,99,121,..
MESCUA,99,118,..
PEÑAMARIA,99,118,..
HUARCAYA,99,117,..
ARNALOT,99,116,..
BALMISA,99,116,..
MANOTA,99,116,..
PORTALATIN,99,116,..
USATORRE,99,116,..
VEA MURGUIA,99,116,..
DE VILLA,99,114,..
PUNTA,99,114,..
GUNA,99,113,..
TRUCHERO,99,113,..
MELLIZO,99,112,..
RAIDO,99,112,..
ERBURU,99,111,..
GALLAN,99,109,..
SAGNIER,99,109,..
SABARICH,99,108,..
CALOPA,99,107,..
CASSI,99,107,..
ULLASTRES,99,107,..
GAROS,99,106,..
MAQUIRRIAIN,99,106,..
CULQUI,99,105,..
MICHEO,99,105,..
URRUCHUA,99,104,..
ARISTIN,99,103,..
CLARACO,99,103,..
GAVITO,99,102,..
PEREZ DE VILLARREAL,99,102,..
RETAMINO,99,102,..
BARQUET,99,101,..
COMOJO,99,100,..
DUDAGOITIA,99,100,..
PARET,99,100,..
ERNESTO,99,99,..
ABUJA,99,98,..
BARAZON,99,98,..
CARRICA,99,98,..
CEBAS,99,98,..
SANCHEZ DE MEDINA,99,98,..
TATJE,99,98,..
CAUSERA,99,95,..
ONORATO,99,95,..
URTAZA,99,94,..
FERNANDEZ DE MENDIOLA,99,93,..
REMUJO,99,93,..
ROPA,99,92,..
FANES,99,91,..
NAVO,99,90,..
REMBADO,99,90,..
CALACO,99,89,..
ENSESA,99,89,..
SERRULLA,99,89,..
SEÑORET,99,89,..
CRISPI,99,88,..
PENEVA,99,88,..
GALLEGO DE LERMA,99,87,..
HERBOSO,99,87,..
LA RODA,99,87,..
LOPEZ DE BRIÑAS,99,87,..
SANCHEZ CHIQUITO,99,87,..
JANOHER,99,86,..
PERIN,99,86,..
MUÑOZ DE LA NAVA,99,85,..
PASANAU,99,84,..
LA OSA,99,83,..
TRESPADERNE,99,83,..
CAHUE,99,82,..
LAUT,99,82,..
LLAUDET,99,82,..
MOLLET,99,82,..
CELEDONIO,99,81,..
FERREZUELO,99,81,..
GERALDES,99,80,..
PELEJERO,99,80,..
BARBARIAS,99,79,..
REHECHO,99,79,..
BRIK,99,78,..
ROCOSA,99,78,..
FAULIN,99,77,..
FROCHOSO,99,77,..
NOCITO,99,77,..
CANTONERO,99,76,..
SOBRINOS,99,76,..
VALDELLOS,99,76,..
ESCOTET,99,75,..
LOPEZ VILLALTA,99,75,..
RISALDE,99,75,..
DES,99,74,..
FERNANDEZ DE TEJADA,99,74,..
MANTARAS,99,74,..
GRIGOROVA,99,73,5
CHENEL,99,73,..
LARCO,99,73,..
NICOLAO,99,73,..
GARRA,99,72,..
LASTANAO,99,72,..
POMEDIO,99,71,..
SANCHEZ MEDINA,99,68,..
TALABAN,99,68,..
NCHASO,99,67,..
ZHELYAZKOVA,99,67,..
AYECHU,99,66,..
CAMPAYA,99,66,..
FERNANDEZ GALLARDO,99,65,5
LAYNA,99,64,5
FONTBONA,99,64,..
NOTO,99,64,..
DONCHEV,99,61,..
PUIGDERRAJOLS,99,60,..
URKIRI,99,60,..
DUPRE,99,59,..
DE ZULUETA,99,58,..
VISIERS,99,57,..
AWAD,99,56,..
MUSTAPHA,99,56,..
MONTIS,99,55,..
FAZIO,99,54,..
ANSEDES,99,52,..
CALCAGNO,99,48,..
BONELLI,99,47,..
IYAMU,99,40,..
OUASS,99,33,..
CAVALLO,99,29,..
MAXWELL,99,24,..
BENKIRANE,99,21,..
HEALY,99,20,..
NIASS,99,20,..
PIKE,99,20,..
CUMMINS,99,18,..
ESSAHLI,99,18,..
EL FELLAH,99,16,..
FAGROUCH,99,16,..
ONU,99,15,..
MCLAUGHLIN,99,11,..
BADDOU,99,10,..
LAANANI,99,10,..
SAQIB,99,10,..
AGUILI,99,9,..
BASHARAT,99,8,..
BERAR,99,8,..
HOSU,99,8,..
COLLIER,99,6,..
MANOLESCU,99,6,..
MURTAZA,99,6,..
GEORGIU,99,5,..
GOREA,99,5,..
LUPOIU,99,5,..
PAPARA,99,5,..
BOLBOS,99,..,..
CIRCU,99,..,..
COTEA,99,..,..
HRISCU,99,..,..
SHOAIB,99,..,..
TABACARU,99,..,..
PERALEDA,98,143,..
GASQUET,98,142,..
DE OÑATE,98,135,..
PLANISI,98,135,..
DO SANTOS,98,134,..
CIURANETA,98,133,..
TRIVEZ,98,130,..
CAÑARDO,98,129,..
VALDERICEDA,98,128,..
BREVAL,98,127,..
TETILLA,98,123,7
DABLANCA,98,123,..
BOHER,98,122,..
RAMIRES,98,121,..
RIALP,98,121,..
MARECA,98,120,..
ORUBE,98,120,..
SASTRIQUES,98,119,..
SERA,98,119,..
GONZABAY,98,118,..
PALONES,98,117,..
REBOLLOSO,98,117,..
CORCOLL,98,113,..
EMBIL,98,113,..
ALFARA,98,112,..
RAMELLS,98,112,..
BLANDIN,98,111,..
IPAS,98,111,..
MONTILA,98,111,..
AMANCIO,98,110,..
CADAYA,98,110,..
CHARRY,98,110,..
OSPINO,98,110,..
PIÑEROS,98,110,..
ROLANIA,98,110,..
UTRABO,98,110,..
CASANA,98,109,..
LOMBIDE,98,109,..
BARBADILLA,98,108,..
LACERDA,98,108,..
POSADILLA,98,108,..
ALCORISA,98,107,..
AZLOR,98,107,..
LORT,98,106,..
MUSOLES,98,106,..
MARCULETA,98,105,..
ELEZCANO,98,104,..
MANCLUS,98,104,..
GUMERSINDO,98,103,..
SAINZ DE ROZAS,98,103,..
ALVELO,98,102,..
GIRAUT,98,101,..
USECHE,98,101,..
BOETA,98,100,..
PALMIER,98,100,..
HENAR,98,99,..
LEGRAN,98,99,..
MARCOBAL,98,99,..
VAQUERIZA,98,98,5
CERRAJERIA,98,97,..
YUGCHA,98,96,..
GUDAYOL,98,95,..
MENDIONDO,98,95,..
PEG,98,94,..
LOPEZ MANZANARES,98,92,..
OLARREAGA,98,92,..
BRAJONES,98,91,..
LAHORA,98,90,..
LEANTE,98,90,..
RUIX,98,90,..
CO,98,88,..
BACARDI,98,87,..
NEDYALKOVA,98,87,..
TROITEIRO,98,87,..
VIELSA,98,87,..
CARRAZANA,98,85,..
DESCHAMPS,98,85,..
FRIERO,98,85,..
GOMEZ CORNEJO,98,85,..
MARTINEZ DE LA PERA,98,85,..
OGUIZA,98,85,..
PUIGVI,98,85,..
BELLORIN,98,84,..
RICALDI,98,84,..
SAN VALENTIN,98,84,..
BUDO,98,83,..
MARTINEZ PARDO,98,83,..
SAGRE,98,83,..
BRIEBA,98,82,..
CAUSO,98,82,..
DE LA ANTONIA,98,82,..
ISAR,98,82,..
MAYOLA,98,82,..
CABRUJA,98,81,..
SEIRA,98,81,..
RUIZ DE VILLA,98,80,..
SEL LAM,98,80,..
DE BUEN,98,79,..
MENEN,98,78,..
PILATASIG,98,77,..
ELARRE,98,76,..
MALLAGARAY,98,76,..
TAZA,98,76,..
PORTALS,98,75,..
POUSIBET,98,75,..
RARIS,98,75,..
DIAZ LLANOS,98,73,..
GAMEIRO,98,73,..
LAURIA,98,73,..
RUIZ DE AUSTRI,98,72,5
SAETEROS,98,72,..
AURELIO,98,71,..
FUENTESECA,98,71,..
TILVES,98,71,..
NUÑEZ CACHO,98,70,..
MILANS DEL BOSCH,98,69,..
BASURKO,98,68,..
MATXAIN,98,68,..
TRENCH,98,67,..
ALABADI,98,66,..
CARALPS,98,65,..
FATUARTE,98,61,..
HORNEDO,98,61,..
DAMIANI,98,59,..
MONE,98,59,..
BARBEYTO,98,58,..
ELKORO,98,58,..
BEUMALA,98,56,..
PEDRAJO,98,56,..
LLES,98,53,..
SERAFINI,98,53,..
BRANDAN,98,52,..
HOPPE,98,47,..
MAZZEO,98,41,..
GONTA,98,39,..
GORI,98,38,..
HADJ,98,36,..
RUGGERI,98,36,..
CHAABAN,98,35,..
WALTHER,98,34,..
EL MEKKAOUI,98,33,..
BENJILALI,98,32,..
AYRES,98,30,..
BOCK,98,30,..
PASTORE,98,29,..
ARFAOUI,98,28,..
BENNIS,98,28,..
BOUKHRIS,98,28,..
EL BAKKOURI,98,25,..
EMERY,98,24,..
VALENTINI,98,24,..
PETRA,98,22,..
EL ABBAS,98,21,..
LEBEDEVA,98,21,..
BRIKI,98,20,..
BENSIALI,98,19,..
GERGELY,98,19,..
WEIR,98,19,..
BEST,98,18,..
CHAKER,98,18,..
MASAOUDI,98,18,..
SAPKOTA,98,18,..
BURNETT,98,17,..
EL GHAZALI,98,16,..
MESKINI,98,16,..
RYBAK,98,16,..
MULDER,98,15,..
ILIYANOVA,98,14,..
BARR,98,13,..
ARHOUN,98,12,..
MBODJI,98,12,..
REBROUB,98,12,..
AMPONSAH,98,11,..
GHAFOOR,98,11,..
MIC,98,11,..
CATARGIU,98,8,..
EHSAN,98,8,..
MCKENZIE,98,8,..
ATTAF,98,6,..
MARCHIS,98,6,..
BADOI,98,5,..
BOBEICA,98,5,..
DOLHA,98,5,..
AZEEM,98,..,..
GAVRIS,98,..,..
MARINICA,98,..,..
TURDEAN,98,..,..
DE MEDINA,97,234,..
GALAFAT,97,165,..
ECHEZARRAGA,97,144,..
MASSUET,97,138,..
FERRADAL,97,133,..
CAÑASVERAS,97,132,..
IZAR DE LA FUENTE,97,132,..
MACERO,97,131,..
ULANGA,97,131,..
CASARRAMONA,97,129,..
TEJADOS,97,129,..
MARCHITE,97,128,..
BALDOR,97,125,..
SALIP,97,123,..
JOSENDE,97,122,..
LLANDRES,97,121,..
MOSQUEA,97,121,..
SIABA,97,120,5
IGARZABAL,97,120,..
RODILANA,97,120,..
LLECHA,97,119,..
CHARTERINA,97,117,..
TEJUELO,97,117,..
CALLON,97,116,..
ARANZASTI,97,114,..
DEL YERRO,97,114,..
ESPINALES,97,114,..
DONLO,97,113,..
APARCERO,97,110,..
BEISTI,97,110,..
ESTARRIAGA,97,110,..
FERNANDEZ DELGADO,97,110,..
HERNAMPEREZ,97,110,..
SANTA CATALINA,97,110,..
CASABAYO,97,109,..
MOTAS,97,109,..
CONDOLO,97,108,..
VERISIMO,97,108,..
ZORRERO,97,108,..
GUEZALA,97,107,..
JARIEGO,97,107,..
LOPEZ DE ZUBIRIA,97,106,..
PERNUDO,97,106,..
BARANDIKA,97,105,..
ECHAZARRA,97,104,6
BORO,97,103,..
FEANS,97,103,..
GENSANA,97,103,..
VIRACOCHA,97,103,..
RUIZ DE LA FUENTE,97,102,..
ARNOSI,97,101,..
CAHUANA,97,101,..
HOM,97,101,..
ALIERTA,97,100,..
AMEYUGO,97,100,..
ETXENAGUSIA,97,100,..
REBORDOSA,97,99,..
DANCAUSA,97,97,..
HAYAS,97,97,..
PASIN,97,97,..
SANCHEZ GALLEGO,97,96,..
BERDIAL,97,95,..
CORPS,97,95,..
ECED,97,95,..
BARQUIER,97,94,..
INORIZA,97,94,..
MINDAN,97,94,..
ARGENTO,97,93,..
BARDIA,97,92,..
MONTARELO,97,91,..
MONEGAL,97,89,..
ARRI,97,88,..
DO CAMPO,97,88,..
BRUNEL,97,87,..
FIORITO,97,87,..
PAMPARA,97,87,..
DE SANCHO,97,86,..
ESCONDRILLAS,97,86,..
RAHOLA,97,86,..
DIAZ DE DURANA,97,85,..
VIELLA,97,85,..
SARRIGUREN,97,84,..
LAMARIANO,97,83,..
DE LA PUEBLA,97,82,..
SARAIBA,97,82,..
ALMUDEVAR,97,81,..
RADILLO,97,81,..
XAMANI,97,81,..
SAINZ DE LOS TERREROS,97,80,..
CABRANES,97,79,..
ROLIN,97,79,..
ZAMAR,97,79,..
LIMORTI,97,78,..
LOPEZ DEL PRADO,97,78,..
VALIMAÑA,97,78,..
MUNDI,97,77,..
UCEIRA,97,77,..
GASTO,97,76,..
GAUXACHS,97,76,..
LOPEZ LILLO,97,76,..
LAZARA,97,75,..
VILLERO,97,75,..
DE ESPAÑA,97,74,..
ALMENDROTE,97,73,..
CONSOLA,97,73,..
SALTOR,97,73,..
CHOLIZ,97,70,..
ELOY,97,69,..
ANDERICA,97,66,..
BERGUÑO,97,66,..
MAHON,97,65,..
TARRAT,97,64,..
RUIZ OLIVARES,97,63,..
VIDRIER,97,63,..
VILARET,97,63,..
CEVIDANES,97,62,..
IRALDE,97,62,..
MAZARRASA,97,60,..
ARTUCH,97,59,..
ELICH,97,59,..
ROTEA,97,59,..
GALBE,97,58,..
ARJO,97,56,..
DEBBOUN,97,56,..
BEIGVEDER,97,54,..
BUSCH,97,54,..
MINOVES,97,53,..
YESARES,97,52,..
ABATI,97,51,..
MAATI,97,50,5
CASTAÑOSA,97,48,..
BURGER,97,45,..
MOHR,97,44,..
BERROUHOU,97,42,..
SCHWAB,97,42,..
DICK,97,41,..
PANADEIROS,97,41,..
MAAS,97,38,..
NADER,97,38,..
ABBAOUI,97,37,..
ROSSINI,97,37,..
SCHULER,97,37,..
ULRICH,97,37,..
ZAHI,97,37,..
GENCHEVA,97,34,..
ATTIA,97,32,5
N'DIAYE,97,30,5
TAOUSSI,97,30,..
AKHDIM,97,29,..
NDAW,97,29,..
EL HARRAS,97,28,..
WHYTE,97,28,..
EL AMIRI,97,27,..
JALLOH,97,26,13
LOGAN,97,26,..
EL MOUTAOUAKIL,97,25,..
GORMAN,97,25,..
NAJMI,97,24,..
ZHUKOVA,97,24,..
CIRILLO,97,23,..
LATRACHE,97,21,..
BRAY,97,20,..
EL FARSSIOUI,97,20,..
KHALLADI,97,19,..
AOUAJ,97,18,..
SAMMAR,97,17,5
FATIHI,97,16,..
MONTGOMERY,97,16,..
KOUDAD,97,15,..
LAHFIDI,97,15,..
TOUFIK,97,15,..
MORTIMER,97,14,..
TIHOMIROVA,97,14,..
BABAYAN,97,13,..
PURCEL,97,13,..
AOUICHI,97,12,..
EL ATTABI,97,11,..
TICA,97,11,..
KIRALY,97,10,..
OBENG,97,10,..
RAMZAN,97,9,..
VATAFU,97,9,..
FATU,97,8,..
GARNER,97,8,..
CURCAN,97,7,..
PLESCAN,97,7,..
BREAZU,97,6,..
CHELU,97,6,..
DELCEA,97,6,..
HINCU,97,6,..
LYSENKO,97,6,..
ASSAM,97,5,..
CAZAC,97,5,..
CIRJAN,97,..,..
GAMAN,97,..,..
GAVRILAS,97,..,..
IOVU,97,..,..
MUSTATEA,97,..,..
TRICA,97,..,..
BARGAS,96,157,..
GUEDEZ,96,149,..
SAZATORNIL,96,146,..
ALCAMI,96,138,..
FERRUELO,96,138,..
AUGUSTA,96,135,..
HUIX,96,134,..
ANCIZAR,96,131,..
IRIZABAL,96,131,..
IDOIPE,96,129,..
BERRONDO,96,123,..
JADO,96,123,..
DE PAREDES,96,122,..
DE AGUIAR,96,121,..
DULCET,96,120,..
GOITIZ,96,120,..
BARJACOBA,96,119,..
XIBERTA,96,119,..
VILLALABEITIA,96,117,..
SOLINO,96,116,..
BELLVEHI,96,112,..
SANTA TERESA,96,112,..
BEIS,96,110,..
CAPERA,96,110,..
HUERCIO,96,110,..
ORTEGA VILLAIZAN,96,110,..
DAROS,96,109,..
TRASEIRA,96,107,7
BOZO,96,107,..
DEVES,96,107,..
ARMIDA,96,106,..
ARRAUSI,96,106,..
JARTIN,96,105,..
SARSA,96,104,5
DEVAL,96,104,..
PILAN,96,104,..
BASTAROS,96,99,..
DIAZ DE ARGANDOÑA,96,99,..
MINCHALA,96,99,..
NARCIANDI,96,98,..
TEMBRA,96,98,..
EREZA,96,97,..
LUBIANO,96,97,..
MIRALBES,96,97,..
DE ORTE,96,96,..
SUMAY,96,96,..
JIMBO,96,95,..
LOPEZ DAVILA,96,95,..
SALINA,96,95,..
CARABAZA,96,94,..
HUETOS,96,93,..
VEHI,96,92,..
BRES,96,91,..
RUHI,96,91,..
BURNIOL,96,90,..
GRABULEDA,96,90,..
TIXE,96,89,..
MATARRODONA,96,88,..
TRUCIOS,96,88,..
ESPARTA,96,87,..
MUYULEMA,96,87,..
TRENZADO,96,86,..
ENRIQUEZ DE SALAMANCA,96,85,..
MAZARRACIN,96,85,..
RIBAU,96,85,..
SOLLERO,96,85,..
BUILS,96,84,..
CANDEIRA,96,84,..
DIAZ PACHECO,96,84,..
FONTANS,96,84,..
AGELET,96,83,..
COLLDEFORNS,96,83,..
LANDAETA,96,82,..
ROLA,96,81,..
AMESCUA,96,80,..
BRACONS,96,80,..
PARGARAY,96,79,14
GOÑEZ,96,79,10
BUENA,96,79,..
CORTORREAL,96,79,..
PACHAY,96,79,..
CONSENTINO,96,78,..
QUIROLA,96,78,..
TROTONDA,96,78,..
ZARRAGOITIA,96,78,..
IGNOTO,96,77,..
GARCIA DE LA SERRANA,96,76,..
TRAVESA,96,76,..
BARBACHANO,96,75,..
BOLLULLOS,96,74,..
CORELLANO,96,74,..
OTAOLEA,96,73,..
CATCHOT,96,72,..
AGANZO,96,71,..
CHUQUITARCO,96,71,..
NESPRAL,96,71,..
IZARZUGAZA,96,70,..
PURSALS,96,69,..
ZARANDIETA,96,69,..
CARREY,96,67,..
DE LA MARTA,96,67,..
PANAYOTOVA,96,67,..
VALKOV,96,67,..
GANT,96,66,..
LASSALLE,96,66,..
TORREQUEBRADA,96,66,..
ARRESE IGOR,96,64,..
BISTUE,96,64,..
LACLETA,96,64,..
TROTA,96,63,..
GALLEGO NICASIO,96,62,..
DE LA ALDEA,96,61,..
ELORTZA,96,60,..
VELACORACHO,96,60,..
COSENTINO,96,59,..
RUDIEZ,96,59,..
GARCIA DE VIEDMA,96,57,..
IGNATOVA,96,57,..
NVE,96,57,..
REGUART,96,57,..
STOILOVA,96,53,..
BAUZAN,96,52,..
PEREZ DEL PALOMAR,96,51,..
AVIÑOA,96,48,..
CRAUS,96,44,..
EL GHAILANI,96,44,..
COLLIN,96,42,..
GHAZOUANI,96,42,..
MANYA,96,41,..
AHMADI,96,40,..
WAHID,96,40,..
BOSIO,96,39,..
DOUKALI,96,35,..
SILVESTRI,96,35,..
MASSEY,96,34,..
EL EDRISSI,96,33,..
ZAK,96,29,..
OSAGIEDE,96,28,7
GRIMM,96,27,..
TARFI,96,27,..
BRENNER,96,26,..
DEHBI,96,26,..
EGOROVA,96,25,..
GOUDIABY,96,25,..
BOURHAIL,96,24,..
GARGIULO,96,24,..
CHAABI,96,23,..
KUZMINA,96,22,..
DI MARTINO,96,20,..
VOLKOV,96,20,..
ZAYTSEVA,96,20,..
AHADDOUCH,96,18,..
BENABDALLAH,96,18,..
DARRAZI,96,18,..
PUGH,96,18,..
EL AKEL,96,17,..
WITTE,96,17,..
ZAHRA,96,17,..
MUNRO,96,16,..
BENACHOUR,96,15,..
PLATT,96,15,..
CORBETT,96,13,..
MOUTAWAKIL,96,11,..
WROBEL,96,10,..
ILIUTA,96,9,..
WAHAB,96,9,..
HOTEA,96,8,..
QAISAR,96,8,..
IORDANESCU,96,7,..
PAVLYUK,96,7,..
YAQOOB,96,7,..
BELU,96,5,..
CUCOS,96,5,..
LATCU,96,5,..
ROSENOV,96,5,..
IORDACHESCU,96,..,..
LUPAN,96,..,..
MORTABIT,96,..,..
PADUREANU,96,..,..
PASCARU,96,..,..
TRIPON,96,..,..
BAFALUY,95,158,..
CALABAZA,95,147,..
PERSIVA,95,146,..
AGUILILLA,95,144,..
MASERAS,95,144,..
AGRUÑA,95,142,..
CASP,95,136,..
NANTES,95,135,..
BURGAL,95,133,..
VILLAQUIRAN,95,126,..
CABREJA,95,125,..
LOTINA,95,124,..
MOSEGUEZ,95,118,..
LOMERO,95,117,..
ROSINACH,95,117,..
RACAJ,95,115,..
ANEGAS,95,113,..
BAÑEGIL,95,113,..
ALBITE,95,111,..
ASCARZA,95,111,..
COVALEDA,95,111,..
RETE,95,109,6
PURTI,95,109,..
CHANTRERO,95,108,..
LAMIQUIZ,95,108,..
MUNTION,95,108,..
PEREZ MUELAS,95,108,..
ARTASO,95,107,..
MALLADO,95,107,..
CORRETGE,95,106,..
TERSA,95,105,..
CASAREJOS,95,104,..
GONZALEZ DE AGUILAR,95,104,..
ARAMBURUZABALA,95,103,..
ESPARRAGOSA,95,103,..
FULGUEIRA,95,103,..
GOYOS,95,103,..
PEZZI,95,103,..
SANCHEZ VIZCAINO,95,103,..
NOTIVOL,95,101,..
SANTAYA,95,101,..
ESTRUEL,95,100,..
GUARACA,95,100,..
MANSITO,95,100,..
TABLERO,95,99,9
CAUSAPIE,95,99,..
BRISACH,95,98,..
MARTIN FONTECHA,95,98,..
ESCULTA,95,97,..
DA VEIGA,95,96,..
ALDAREGUIA,95,95,..
BORDONAU,95,95,..
HECTOR,95,95,..
AVINENT,95,94,..
BASARAS,95,94,..
ROGET,95,94,..
ABAT,95,93,..
CAPILLAS,95,93,..
SAMPE,95,93,..
SASIA,95,93,..
DIAZ CARDIEL,95,92,..
LALE,95,92,..
CAPISTROS,95,91,..
PAPIN,95,91,..
ALCOBAS,95,90,..
ARANEGAS,95,90,..
CANDANO,95,90,..
ARNALTE,95,89,..
ATAUN,95,89,..
GARDEL,95,89,..
MODAMIO,95,89,..
TRILLO FIGUEROA,95,89,..
RAYMUNDO,95,88,..
GAMAYO,95,87,..
PRESTEL,95,87,..
EMILIANO,95,86,..
MEDARDE,95,86,..
TORNS,95,86,..
SEBRANGO,95,85,7
BUDESCA,95,85,..
NOCELO,95,85,..
PIÑUEL,95,84,..
CONGET,95,83,..
LOCIGA,95,83,..
ASPURU,95,80,..
CHICO DE GUZMAN,95,80,..
PUJADA,95,80,..
VELON,95,79,..
AYARRA,95,78,..
ESPEJO SAAVEDRA,95,78,..
ROVI,95,77,..
BALCONES,95,76,..
AREQUIPA,95,75,..
PEGENAUTE,95,74,..
ALCHAPAR,95,72,..
LIEDO,95,72,..
BASDEDIOS,95,70,..
DE FEDERICO,95,70,..
MARIAGES,95,70,..
HOSSEIN,95,69,..
DENA,95,68,..
MARTIN DE LOS SANTOS,95,68,..
MONSECH,95,68,..
MURUAIS,95,68,..
YANEV,95,68,..
BERRUTI,95,66,..
DE NAVAS,95,66,..
GIRONELL,95,66,..
STUYCK,95,66,..
BRUIXOLA,95,65,..
MANIVESA,95,64,..
PUIGGALI,95,62,..
TREMOLS,95,62,..
JUELA,95,61,..
LIÑAYO,95,61,..
RUCABADO,95,61,..
ALIANA,95,60,..
CASALVAZQUEZ,95,60,..
LEVEQUE,95,58,..
PESCE,95,58,..
MILLE,95,57,..
ESPA,95,56,..
FERNANDEZ LUENGO,95,56,..
RABASOT,95,55,..
ARAKAMA,95,53,..
DANIS,95,50,..
GONZALEZ DE LENA,95,50,..
SANCHEZ GIRON,95,50,..
LANTADA,95,49,5
BOUKER,95,49,..
AYUDARTE,95,48,..
LISART,95,48,..
TEIGA,95,47,..
PHAM,95,46,..
LEKUNBERRI,95,45,..
CARTIEL,95,44,..
MARX,95,42,..
MINKOV,95,41,..
ERRANDO,95,37,..
FALCONE,95,37,..
LAGHRIB,95,37,..
HAIDOUR,95,36,..
SEBBAR,95,34,..
SOROKINA,95,34,..
HUBNER,95,33,..
CHELLI,95,31,..
MILKOV,95,30,..
HEINZ,95,29,..
STOCK,95,29,..
BELGHANOU,95,27,..
HADDOUCHE,95,27,..
BOUFOUS,95,26,..
RICCIARDI,95,26,..
HAMDOUNI,95,25,..
BENCHIKH,95,24,..
BENMESSAOUD,95,24,..
HAMANI,95,23,..
DELANEY,95,22,..
HALI,95,22,..
KNUDSEN,95,22,..
PETERSON,95,21,..
AIDARA,95,20,..
EL BATTIOUI,95,19,..
HANIN,95,19,..
SHIN,95,19,..
LECA,95,18,..
RODGERS,95,18,..
AIGBE,95,17,..
BARCLAY,95,16,..
KRAWCZYK,95,12,..
BOULANOUAR,95,11,..
EL BAHJA,95,11,..
PIPER,95,11,..
SUBHANI,95,11,..
FRY,95,10,..
MUIR,95,10,..
STACEY,95,10,..
COATES,95,9,..
OUATTARA,95,9,..
PICKERING,95,9,..
CRACIUNESCU,95,8,..
ATTAOUI,95,7,..
BENSENNAA,95,7,..
SARFRAZ,95,7,..
CARTWRIGHT,95,6,..
LEUSTEAN,95,6,..
BADILA,95,5,..
TIMAR,95,5,..
VORNICU,95,5,..
EL MAHFOUDI,95,..,..
IANOS,95,..,..
KARLSEN,95,..,..
MACIUCA,95,..,..
TOPALA,95,..,..
AVOMO,94,236,..
MONROBE,94,175,..
MILICUA,94,133,..
DO VALE,94,129,..
CEMBRANO,94,127,..
URBERUAGA,94,119,..
SANTA EULALIA,94,118,..
DELEITO,94,117,..
DIEZ CANSECO,94,117,..
FERNANDEZ FIGARES,94,116,..
GALVIZ,94,116,..
PUEO,94,116,..
TORTUERO,94,113,..
COMERAS,94,112,..
MIQUEO,94,110,5
SARRAGA,94,110,..
COROMINOLA,94,109,..
GOITI,94,108,9
ASTO,94,108,..
AZALDEGUI,94,108,..
MARTINEZ DE LIZARDUY,94,108,..
SANTIZO,94,108,..
GAMBAU,94,106,..
SAPORTA,94,106,..
MORAIRA,94,105,..
UGUINA,94,105,..
DANTI,94,103,..
NOVIALS,94,103,..
REZENDE,94,102,..
GASTACA,94,101,..
PRADELLS,94,101,..
RIEJOS,94,101,..
BONALS,94,100,..
CHULCA,94,100,..
GUAYANAY,94,100,..
CARMENES,94,99,..
COSTARROSA,94,99,..
GARCIA DE JALON,94,99,..
GEZURAGA,94,99,..
IMATZ,94,99,..
RUIDO,94,99,..
VILLALBI,94,98,7
DEL ORBE,94,98,..
MILVAQUES,94,98,..
OSO,94,98,..
RAFELS,94,98,..
DEL PIE,94,96,..
LARRAGAN,94,96,..
ARCILLA,94,95,..
QUES,94,95,..
CAMUESCO,94,94,..
ALCUSON,94,93,..
JUANDO,94,93,..
OCAMICA,94,93,..
PADRELL,94,93,..
PUCHA,94,92,..
VOLART,94,92,..
GUIMET,94,91,..
MASSACHS,94,91,..
NUFRIO,94,91,..
PEREZ DE LA BLANCA,94,91,..
RELOVA,94,91,..
SATIZABAL,94,91,..
AZOGIL,94,90,5
CEBADERA,94,89,..
EGURZA,94,89,..
HURLE,94,89,..
UMEREZ,94,89,..
FULQUET,94,88,..
REIN,94,88,..
SAURIN,94,88,..
GARCIA RUBIO,94,87,..
SERQUERA,94,87,..
MOLINI,94,86,..
CHOVARES,94,85,..
STERLING,94,85,..
BOLONIO,94,84,..
LOPATEGI,94,84,..
REBES,94,84,..
RUIZ DE GARIBAY,94,84,..
SAENZ DE VITERI,94,83,11
BERECIARTU,94,83,..
DIAZ DE BUSTAMANTE,94,82,..
PACETTI,94,81,..
QUITERIO,94,81,..
VALDAJOS,94,81,..
ACHAU,94,80,..
CARCELA,94,80,..
CREIX,94,80,..
GALINSOGA,94,80,..
LLISTERRI,94,79,..
STOYKOVA,94,78,7
ABOIN,94,78,..
MANJARIN,94,78,..
MARTINEZ DE ICAYA,94,78,..
DE OÑA,94,77,..
RABINA,94,77,..
DUVISON,94,76,..
MARTINEZ DE ZUAZO,94,76,..
LAG,94,75,..
TRESSERRA,94,75,..
ARTIZ,94,74,..
BENITEZ CANO,94,73,..
POSAS,94,72,..
SIMES,94,72,..
VINSEIRO,94,72,..
ALMAZOR,94,71,..
SARLE,94,71,..
FERNANDEZ DE MARCOS,94,70,..
AKTHER,94,68,..
ANCILLO,94,68,..
ESTARRONA,94,68,..
OTINIANO,94,68,..
VILASIS,94,68,..
MARTINEZ FORTUN,94,67,..
RAPOSEIRAS,94,67,..
RICOMA,94,67,..
YONTE,94,67,..
COVEÑAS,94,66,..
PAGANI,94,66,..
SERFATY,94,66,..
FOCHS,94,65,..
SANCHEZ DE OCAÑA,94,65,..
TRAVESO,94,65,..
